# Median_Temperature Distance
-183.403000 -10.000000
677.574000 -9.745000
69.385000 -9.491000
28.254000 -9.237000
14.378000 -8.983000
11.312000 -8.729000
11.230000 -8.474000
11.245000 -8.220000
11.300000 -7.966000
11.433000 -7.712000
11.534000 -7.458000
11.622000 -7.203000
11.679000 -6.949000
11.828000 -6.695000
11.853000 -6.441000
12.102000 -6.187000
12.223000 -5.932000
12.291000 -5.678000
12.436000 -5.424000
12.575000 -5.170000
12.818000 -4.916000
13.050000 -4.661000
13.264000 -4.407000
13.366000 -4.153000
13.624000 -3.899000
13.899000 -3.645000
14.162000 -3.390000
14.394000 -3.136000
14.566000 -2.882000
14.663000 -2.628000
14.716000 -2.374000
14.701000 -2.119000
14.854000 -1.865000
14.793000 -1.611000
14.784000 -1.357000
14.782000 -1.103000
14.869000 -0.848000
14.716000 -0.594000
14.755000 -0.340000
15.017000 -0.086000
