# Median_Temperature Distance
-166.864000 -10.000000
0.000000 -9.745000
122.850000 -9.491000
44.485000 -9.237000
20.351000 -8.983000
13.139000 -8.729000
11.861000 -8.474000
11.395000 -8.220000
11.206000 -7.966000
11.234000 -7.712000
11.323000 -7.458000
11.280000 -7.203000
11.362000 -6.949000
11.369000 -6.695000
11.596000 -6.441000
11.700000 -6.187000
11.779000 -5.932000
11.910000 -5.678000
11.972000 -5.424000
12.096000 -5.170000
12.316000 -4.916000
12.446000 -4.661000
12.587000 -4.407000
12.772000 -4.153000
12.984000 -3.899000
13.251000 -3.645000
13.421000 -3.390000
13.638000 -3.136000
13.841000 -2.882000
14.136000 -2.628000
14.354000 -2.374000
14.538000 -2.119000
14.738000 -1.865000
14.782000 -1.611000
14.819000 -1.357000
14.877000 -1.103000
14.851000 -0.848000
14.872000 -0.594000
14.815000 -0.340000
14.797000 -0.086000
