# Median_Temperature Distance
11.891000 -10.000000
11.958000 -9.746000
12.113000 -9.492000
12.101000 -9.237000
12.123000 -8.983000
12.268000 -8.729000
12.408000 -8.475000
12.424000 -8.221000
12.536000 -7.966000
12.719000 -7.712000
12.767000 -7.458000
12.952000 -7.204000
13.139000 -6.950000
13.211000 -6.695000
13.369000 -6.441000
13.600000 -6.187000
13.777000 -5.933000
13.887000 -5.679000
14.069000 -5.424000
14.399000 -5.170000
14.574000 -4.916000
14.686000 -4.662000
14.760000 -4.408000
14.932000 -4.153000
14.999000 -3.899000
15.060000 -3.645000
15.122000 -3.391000
15.180000 -3.137000
15.193000 -2.882000
15.236000 -2.628000
15.225000 -2.374000
15.304000 -2.120000
15.256000 -1.866000
15.335000 -1.611000
15.258000 -1.357000
15.494000 -1.103000
16.404000 -0.849000
17.614000 -0.595000
18.863000 -0.340000
20.120000 -0.086000
