# Median_Temperature Distance
11.047000 -10.000000
11.082000 -9.745000
10.976000 -9.491000
10.955000 -9.237000
10.872000 -8.983000
10.664000 -8.729000
10.594000 -8.474000
10.507000 -8.220000
10.389000 -7.966000
10.180000 -7.712000
10.057000 -7.458000
9.816000 -7.203000
9.607000 -6.949000
9.427000 -6.695000
9.246000 -6.441000
8.901000 -6.187000
8.654000 -5.932000
8.387000 -5.678000
8.179000 -5.424000
8.005000 -5.170000
7.961000 -4.916000
7.784000 -4.661000
7.769000 -4.407000
7.603000 -4.153000
7.480000 -3.899000
7.542000 -3.645000
7.625000 -3.390000
7.752000 -3.136000
7.874000 -2.882000
8.318000 -2.628000
8.632000 -2.374000
8.750000 -2.119000
9.152000 -1.865000
9.404000 -1.611000
9.329000 -1.357000
9.496000 -1.103000
9.249000 -0.848000
9.530000 -0.594000
9.567000 -0.340000
9.666000 -0.086000
