# Median_Temperature Distance
7.742000 -10.000000
7.884000 -9.745000
7.670000 -9.491000
7.850000 -9.237000
7.982000 -8.983000
7.801000 -8.729000
7.680000 -8.474000
7.457000 -8.220000
7.739000 -7.966000
7.625000 -7.712000
7.434000 -7.458000
7.125000 -7.203000
7.063000 -6.949000
6.699000 -6.695000
6.562000 -6.441000
6.572000 -6.187000
6.746000 -5.932000
6.398000 -5.678000
6.192000 -5.424000
5.809000 -5.170000
5.426000 -4.916000
5.309000 -4.661000
5.113000 -4.407000
5.102000 -4.153000
5.033000 -3.899000
4.965000 -3.645000
4.792000 -3.390000
4.681000 -3.136000
5.039000 -2.882000
4.988000 -2.628000
4.985000 -2.374000
5.000000 -2.119000
5.404000 -1.865000
5.691000 -1.611000
6.056000 -1.357000
6.486000 -1.103000
6.803000 -0.848000
7.149000 -0.594000
7.169000 -0.340000
6.907000 -0.086000
