# Median_Temperature Distance
7.527000 -10.000000
7.630000 -9.746000
7.387000 -9.492000
7.216000 -9.238000
7.014000 -8.984000
6.770000 -8.729000
6.674000 -8.475000
6.687000 -8.221000
6.305000 -7.967000
6.095000 -7.713000
5.771000 -7.458000
5.395000 -7.204000
5.451000 -6.950000
5.241000 -6.696000
5.125000 -6.442000
5.027000 -6.187000
4.919000 -5.933000
4.910000 -5.679000
5.029000 -5.425000
5.131000 -5.171000
4.987000 -4.916000
5.126000 -4.662000
5.093000 -4.408000
5.047000 -4.154000
5.357000 -3.900000
5.840000 -3.645000
6.136000 -3.391000
6.295000 -3.137000
6.502000 -2.883000
7.259000 -2.629000
7.792000 -2.374000
7.418000 -2.120000
7.556000 -1.866000
6.911000 -1.612000
7.885000 -1.358000
7.361000 -1.103000
7.490000 -0.849000
10.421000 -0.595000
2.501000 -0.341000
10.265000 -0.087000
