# Median_Temperature Distance
10.369000 -10.000000
10.186000 -9.745000
10.070000 -9.491000
10.049000 -9.237000
9.631000 -8.983000
9.512000 -8.729000
9.327000 -8.474000
9.132000 -8.220000
8.963000 -7.966000
8.660000 -7.712000
8.520000 -7.458000
8.133000 -7.203000
7.929000 -6.949000
7.629000 -6.695000
7.519000 -6.441000
7.406000 -6.187000
7.197000 -5.932000
7.066000 -5.678000
6.988000 -5.424000
6.996000 -5.170000
7.048000 -4.916000
6.968000 -4.661000
6.871000 -4.407000
6.782000 -4.153000
6.911000 -3.899000
7.230000 -3.645000
7.824000 -3.390000
7.914000 -3.136000
7.716000 -2.882000
7.954000 -2.628000
8.772000 -2.374000
9.043000 -2.119000
9.045000 -1.865000
8.795000 -1.611000
8.685000 -1.357000
9.797000 -1.103000
7.187000 -0.848000
11.742000 -0.594000
7.865000 -0.340000
11.142000 -0.086000
