# Median_Temperature Distance
10.869000 -10.000000
10.707000 -9.746000
10.590000 -9.492000
10.460000 -9.238000
10.476000 -8.984000
10.243000 -8.729000
10.051000 -8.475000
9.858000 -8.221000
9.663000 -7.967000
9.590000 -7.713000
9.378000 -7.458000
9.020000 -7.204000
8.901000 -6.950000
8.629000 -6.696000
8.457000 -6.442000
8.344000 -6.187000
8.330000 -5.933000
8.197000 -5.679000
8.065000 -5.425000
7.984000 -5.171000
7.925000 -4.916000
7.926000 -4.662000
7.933000 -4.408000
7.931000 -4.154000
7.886000 -3.900000
7.712000 -3.645000
7.985000 -3.391000
8.487000 -3.137000
8.923000 -2.883000
9.096000 -2.629000
9.317000 -2.374000
9.895000 -2.120000
9.911000 -1.866000
10.063000 -1.612000
10.242000 -1.358000
10.249000 -1.103000
11.103000 -0.849000
8.838000 -0.595000
12.632000 -0.341000
8.722000 -0.087000
