# Median_Temperature Distance
7.584000 -10.000000
7.592000 -9.746000
7.214000 -9.492000
7.027000 -9.238000
7.046000 -8.983000
6.976000 -8.729000
6.743000 -8.475000
6.500000 -8.221000
6.322000 -7.967000
5.985000 -7.712000
5.988000 -7.458000
5.781000 -7.204000
5.535000 -6.950000
5.374000 -6.696000
5.235000 -6.441000
5.193000 -6.187000
5.217000 -5.933000
5.285000 -5.679000
5.282000 -5.425000
5.165000 -5.170000
5.136000 -4.916000
5.282000 -4.662000
5.301000 -4.408000
5.261000 -4.154000
5.173000 -3.899000
5.249000 -3.645000
5.587000 -3.391000
6.104000 -3.137000
6.765000 -2.883000
7.193000 -2.628000
7.708000 -2.374000
8.113000 -2.120000
7.686000 -1.866000
8.132000 -1.612000
7.320000 -1.357000
8.753000 -1.103000
7.688000 -0.849000
7.783000 -0.595000
10.036000 -0.341000
2.498000 -0.086000
