# Median_Temperature Distance
10.469000 -10.000000
10.341000 -9.746000
10.141000 -9.492000
9.848000 -9.238000
9.771000 -8.983000
9.526000 -8.729000
9.361000 -8.475000
9.161000 -8.221000
9.045000 -7.967000
8.737000 -7.712000
8.639000 -7.458000
8.482000 -7.204000
8.350000 -6.950000
8.238000 -6.696000
8.072000 -6.441000
8.078000 -6.187000
7.999000 -5.933000
7.973000 -5.679000
7.837000 -5.425000
7.777000 -5.170000
7.665000 -4.916000
7.716000 -4.662000
7.565000 -4.408000
7.652000 -4.154000
7.537000 -3.899000
7.916000 -3.645000
8.804000 -3.391000
9.089000 -3.137000
9.271000 -2.883000
9.038000 -2.628000
9.344000 -2.374000
9.873000 -2.120000
9.802000 -1.866000
10.609000 -1.612000
9.709000 -1.357000
11.046000 -1.103000
8.021000 -0.849000
10.139000 -0.595000
9.825000 -0.341000
6.460000 -0.086000
