# Median_Temperature Distance
8.709000 -10.000000
8.459000 -9.746000
8.209000 -9.491000
8.173000 -9.237000
8.086000 -8.983000
7.881000 -8.729000
7.774000 -8.475000
7.602000 -8.220000
7.248000 -7.966000
7.033000 -7.712000
7.059000 -7.458000
6.695000 -7.204000
6.794000 -6.949000
6.704000 -6.695000
6.696000 -6.441000
6.546000 -6.187000
6.650000 -5.933000
6.577000 -5.678000
6.571000 -5.424000
6.723000 -5.170000
6.644000 -4.916000
6.574000 -4.662000
6.639000 -4.407000
6.486000 -4.153000
6.717000 -3.899000
7.552000 -3.645000
7.991000 -3.391000
8.336000 -3.136000
8.139000 -2.882000
8.710000 -2.628000
9.114000 -2.374000
9.256000 -2.120000
9.919000 -1.865000
9.112000 -1.611000
10.634000 -1.357000
6.918000 -1.103000
9.276000 -0.849000
8.227000 -0.594000
3.888000 -0.340000
12.650000 -0.086000
