# Median_Temperature Distance
11.119000 -10.000000
11.223000 -9.746000
11.251000 -9.492000
11.229000 -9.238000
11.302000 -8.983000
11.422000 -8.729000
11.556000 -8.475000
11.588000 -8.221000
11.784000 -7.967000
11.843000 -7.712000
12.066000 -7.458000
12.246000 -7.204000
12.303000 -6.950000
12.469000 -6.696000
12.678000 -6.441000
12.920000 -6.187000
13.069000 -5.933000
13.214000 -5.679000
13.452000 -5.425000
13.686000 -5.170000
13.849000 -4.916000
14.061000 -4.662000
14.119000 -4.408000
14.301000 -4.154000
14.422000 -3.899000
14.529000 -3.645000
14.671000 -3.391000
14.749000 -3.137000
14.722000 -2.883000
14.685000 -2.628000
14.725000 -2.374000
14.806000 -2.120000
14.888000 -1.866000
14.871000 -1.612000
14.834000 -1.357000
15.158000 -1.103000
16.385000 -0.849000
17.451000 -0.595000
17.762000 -0.341000
17.583000 -0.086000
