# Median_Temperature Distance
11.015000 -10.000000
11.013000 -9.746000
11.097000 -9.492000
11.097000 -9.238000
11.224000 -8.984000
11.221000 -8.729000
11.255000 -8.475000
11.342000 -8.221000
11.595000 -7.967000
11.623000 -7.713000
11.675000 -7.458000
11.842000 -7.204000
12.025000 -6.950000
12.211000 -6.696000
12.387000 -6.442000
12.629000 -6.187000
12.786000 -5.933000
12.887000 -5.679000
13.110000 -5.425000
13.259000 -5.171000
13.485000 -4.916000
13.689000 -4.662000
13.784000 -4.408000
13.939000 -4.154000
14.189000 -3.900000
14.267000 -3.645000
14.326000 -3.391000
14.533000 -3.137000
14.618000 -2.883000
14.588000 -2.629000
14.617000 -2.374000
14.693000 -2.120000
14.751000 -1.866000
14.754000 -1.612000
14.795000 -1.358000
14.804000 -1.103000
15.220000 -0.849000
16.495000 -0.595000
17.619000 -0.341000
17.908000 -0.087000
