# Median_Temperature Distance
11.606000 -10.000000
11.684000 -9.746000
11.667000 -9.492000
11.829000 -9.238000
11.944000 -8.984000
12.044000 -8.729000
12.073000 -8.475000
12.240000 -8.221000
12.268000 -7.967000
12.322000 -7.713000
12.521000 -7.458000
12.720000 -7.204000
12.904000 -6.950000
13.154000 -6.696000
13.231000 -6.442000
13.493000 -6.187000
13.631000 -5.933000
13.817000 -5.679000
14.027000 -5.425000
14.275000 -5.171000
14.254000 -4.916000
14.365000 -4.662000
14.491000 -4.408000
14.662000 -4.154000
14.710000 -3.900000
14.824000 -3.645000
14.828000 -3.391000
14.809000 -3.137000
14.941000 -2.883000
14.961000 -2.629000
15.060000 -2.374000
15.057000 -2.120000
15.059000 -1.866000
15.024000 -1.612000
14.959000 -1.358000
14.950000 -1.103000
15.099000 -0.849000
15.269000 -0.595000
15.441000 -0.341000
15.492000 -0.087000
