# Median_Temperature Distance
11.592000 -10.000000
11.748000 -9.746000
11.839000 -9.492000
11.802000 -9.238000
11.950000 -8.983000
12.036000 -8.729000
12.028000 -8.475000
12.174000 -8.221000
12.321000 -7.967000
12.492000 -7.712000
12.656000 -7.458000
12.789000 -7.204000
12.927000 -6.950000
13.200000 -6.696000
13.472000 -6.441000
13.489000 -6.187000
13.784000 -5.933000
13.915000 -5.679000
14.056000 -5.425000
14.293000 -5.170000
14.398000 -4.916000
14.448000 -4.662000
14.601000 -4.408000
14.639000 -4.154000
14.748000 -3.899000
14.829000 -3.645000
14.776000 -3.391000
14.808000 -3.137000
14.877000 -2.883000
14.872000 -2.628000
14.921000 -2.374000
14.959000 -2.120000
14.977000 -1.866000
14.861000 -1.612000
14.771000 -1.357000
14.827000 -1.103000
15.158000 -0.849000
15.318000 -0.595000
15.371000 -0.341000
15.722000 -0.086000
