# Median_Temperature Distance
11.483000 -10.000000
11.550000 -9.746000
11.486000 -9.492000
11.543000 -9.238000
11.615000 -8.984000
11.742000 -8.729000
11.910000 -8.475000
11.987000 -8.221000
12.109000 -7.967000
12.250000 -7.713000
12.406000 -7.458000
12.570000 -7.204000
12.721000 -6.950000
12.919000 -6.696000
13.103000 -6.442000
13.265000 -6.187000
13.469000 -5.933000
13.510000 -5.679000
13.790000 -5.425000
13.969000 -5.171000
14.153000 -4.916000
14.342000 -4.662000
14.559000 -4.408000
14.713000 -4.154000
14.848000 -3.900000
14.908000 -3.645000
14.852000 -3.391000
14.908000 -3.137000
14.906000 -2.883000
14.979000 -2.629000
14.980000 -2.374000
15.080000 -2.120000
15.045000 -1.866000
14.985000 -1.612000
14.947000 -1.358000
15.025000 -1.103000
15.344000 -0.849000
15.601000 -0.595000
16.348000 -0.341000
17.189000 -0.087000
