# Median_Temperature Distance
11.201000 -10.000000
11.317000 -9.745000
11.360000 -9.491000
11.455000 -9.237000
11.474000 -8.983000
11.556000 -8.729000
11.647000 -8.474000
11.694000 -8.220000
11.781000 -7.966000
11.942000 -7.712000
12.098000 -7.458000
12.246000 -7.203000
12.390000 -6.949000
12.532000 -6.695000
12.726000 -6.441000
12.936000 -6.187000
13.107000 -5.932000
13.237000 -5.678000
13.465000 -5.424000
13.668000 -5.170000
13.875000 -4.916000
14.087000 -4.661000
14.128000 -4.407000
14.305000 -4.153000
14.497000 -3.899000
14.530000 -3.645000
14.574000 -3.390000
14.673000 -3.136000
14.706000 -2.882000
14.622000 -2.628000
14.649000 -2.374000
14.744000 -2.119000
14.680000 -1.865000
14.693000 -1.611000
14.666000 -1.357000
14.627000 -1.103000
14.833000 -0.848000
15.120000 -0.594000
15.584000 -0.340000
16.335000 -0.086000
