# Median_Temperature Distance
12.718000 -10.000000
12.759000 -9.746000
12.819000 -9.491000
12.966000 -9.237000
13.013000 -8.983000
13.129000 -8.729000
13.275000 -8.475000
13.438000 -8.220000
13.643000 -7.966000
13.784000 -7.712000
13.940000 -7.458000
14.150000 -7.204000
14.308000 -6.949000
14.511000 -6.695000
14.785000 -6.441000
14.926000 -6.187000
15.026000 -5.933000
15.208000 -5.678000
15.406000 -5.424000
15.567000 -5.170000
15.810000 -4.916000
15.912000 -4.662000
16.016000 -4.407000
16.095000 -4.153000
16.085000 -3.899000
16.183000 -3.645000
16.241000 -3.391000
16.222000 -3.136000
16.183000 -2.882000
16.207000 -2.628000
16.229000 -2.374000
16.212000 -2.120000
16.077000 -1.865000
16.178000 -1.611000
16.129000 -1.357000
16.262000 -1.103000
16.261000 -0.849000
16.262000 -0.594000
16.951000 -0.340000
17.734000 -0.086000
