# Median_Temperature Distance
13.023000 -10.000000
13.034000 -9.746000
13.070000 -9.492000
13.211000 -9.238000
13.282000 -8.983000
13.424000 -8.729000
13.483000 -8.475000
13.620000 -8.221000
13.800000 -7.967000
14.015000 -7.712000
14.085000 -7.458000
14.274000 -7.204000
14.475000 -6.950000
14.649000 -6.696000
14.812000 -6.441000
15.019000 -6.187000
15.206000 -5.933000
15.479000 -5.679000
15.634000 -5.425000
15.744000 -5.170000
15.919000 -4.916000
16.029000 -4.662000
16.204000 -4.408000
16.168000 -4.154000
16.228000 -3.899000
16.375000 -3.645000
16.356000 -3.391000
16.416000 -3.137000
16.413000 -2.883000
16.408000 -2.628000
16.421000 -2.374000
16.414000 -2.120000
16.406000 -1.866000
16.271000 -1.612000
16.177000 -1.357000
16.155000 -1.103000
16.358000 -0.849000
16.338000 -0.595000
16.548000 -0.341000
17.580000 -0.086000
