# Median_Temperature Distance
11.643000 -10.000000
11.685000 -9.746000
11.744000 -9.492000
11.781000 -9.238000
11.850000 -8.983000
11.826000 -8.729000
12.006000 -8.475000
12.074000 -8.221000
12.102000 -7.967000
12.177000 -7.712000
12.202000 -7.458000
12.384000 -7.204000
12.574000 -6.950000
12.760000 -6.696000
12.889000 -6.441000
13.080000 -6.187000
13.225000 -5.933000
13.435000 -5.679000
13.657000 -5.425000
13.840000 -5.170000
13.984000 -4.916000
14.107000 -4.662000
14.215000 -4.408000
14.481000 -4.154000
14.555000 -3.899000
14.608000 -3.645000
14.712000 -3.391000
14.784000 -3.137000
14.860000 -2.883000
14.902000 -2.628000
14.947000 -2.374000
14.925000 -2.120000
14.990000 -1.866000
15.027000 -1.612000
15.085000 -1.357000
15.045000 -1.103000
15.298000 -0.849000
15.937000 -0.595000
17.233000 -0.341000
18.357000 -0.086000
