# Median_Temperature Distance
11.711000 -10.000000
11.758000 -9.745000
11.805000 -9.491000
11.820000 -9.237000
11.947000 -8.983000
11.982000 -8.729000
12.031000 -8.474000
12.008000 -8.220000
12.136000 -7.966000
12.281000 -7.712000
12.433000 -7.458000
12.654000 -7.203000
12.794000 -6.949000
12.889000 -6.695000
13.125000 -6.441000
13.297000 -6.187000
13.461000 -5.932000
13.696000 -5.678000
13.890000 -5.424000
14.025000 -5.170000
14.161000 -4.916000
14.291000 -4.661000
14.459000 -4.407000
14.653000 -4.153000
14.802000 -3.899000
14.849000 -3.645000
14.962000 -3.390000
15.023000 -3.136000
15.000000 -2.882000
15.053000 -2.628000
15.114000 -2.374000
15.182000 -2.119000
15.244000 -1.865000
15.323000 -1.611000
15.329000 -1.357000
15.313000 -1.103000
15.610000 -0.848000
16.621000 -0.594000
18.307000 -0.340000
19.652000 -0.086000
