# Median_Temperature Distance
8.143000 -10.000000
8.001000 -9.745000
7.906000 -9.491000
7.768000 -9.237000
7.707000 -8.983000
7.622000 -8.729000
7.603000 -8.474000
7.353000 -8.220000
7.097000 -7.966000
7.183000 -7.712000
7.119000 -7.458000
6.734000 -7.203000
6.285000 -6.949000
6.285000 -6.695000
6.079000 -6.441000
6.015000 -6.187000
5.988000 -5.932000
6.059000 -5.678000
5.922000 -5.424000
6.062000 -5.170000
5.942000 -4.916000
5.689000 -4.661000
5.869000 -4.407000
5.889000 -4.153000
5.738000 -3.899000
6.855000 -3.645000
8.041000 -3.390000
8.676000 -3.136000
9.220000 -2.882000
10.121000 -2.628000
11.173000 -2.374000
11.042000 -2.119000
9.907000 -1.865000
10.676000 -1.611000
9.637000 -1.357000
11.560000 -1.103000
8.677000 -0.848000
11.753000 -0.594000
10.486000 -0.340000
6.443000 -0.086000
