# Median_Temperature Distance
10.597000 -10.000000
10.516000 -9.746000
10.329000 -9.492000
10.161000 -9.238000
10.235000 -8.983000
10.147000 -8.729000
9.855000 -8.475000
9.777000 -8.221000
9.518000 -7.967000
9.408000 -7.712000
9.065000 -7.458000
8.866000 -7.204000
8.636000 -6.950000
8.345000 -6.696000
8.268000 -6.441000
8.241000 -6.187000
8.114000 -5.933000
7.967000 -5.679000
7.863000 -5.425000
7.802000 -5.170000
7.668000 -4.916000
7.616000 -4.662000
7.579000 -4.408000
7.581000 -4.154000
7.561000 -3.899000
8.067000 -3.645000
9.211000 -3.391000
10.121000 -3.137000
10.395000 -2.883000
10.958000 -2.628000
12.004000 -2.374000
12.038000 -2.120000
11.513000 -1.866000
11.509000 -1.612000
11.029000 -1.357000
12.231000 -1.103000
9.686000 -0.849000
12.903000 -0.595000
11.349000 -0.341000
10.984000 -0.086000
