# Median_Temperature Distance
8.793000 -10.000000
8.665000 -9.746000
8.612000 -9.492000
8.534000 -9.238000
8.332000 -8.983000
8.357000 -8.729000
8.251000 -8.475000
8.124000 -8.221000
7.801000 -7.967000
7.466000 -7.712000
7.372000 -7.458000
7.148000 -7.204000
7.123000 -6.950000
6.994000 -6.696000
6.895000 -6.441000
6.645000 -6.187000
6.531000 -5.933000
6.473000 -5.679000
6.428000 -5.425000
6.555000 -5.170000
6.598000 -4.916000
6.535000 -4.662000
6.517000 -4.408000
6.231000 -4.154000
6.207000 -3.899000
6.372000 -3.645000
6.580000 -3.391000
6.887000 -3.137000
7.539000 -2.883000
7.882000 -2.628000
8.461000 -2.374000
8.553000 -2.120000
8.586000 -1.866000
8.201000 -1.612000
7.592000 -1.357000
7.975000 -1.103000
7.203000 -0.849000
9.001000 -0.595000
6.832000 -0.341000
9.850000 -0.086000
