# Median_Temperature Distance
10.135000 -10.000000
9.967000 -9.746000
9.839000 -9.492000
9.645000 -9.237000
9.558000 -8.983000
9.385000 -8.729000
9.209000 -8.475000
9.101000 -8.221000
8.797000 -7.966000
8.652000 -7.712000
8.474000 -7.458000
8.210000 -7.204000
8.033000 -6.950000
7.873000 -6.695000
7.791000 -6.441000
7.556000 -6.187000
7.602000 -5.933000
7.631000 -5.679000
7.481000 -5.424000
7.245000 -5.170000
7.249000 -4.916000
7.197000 -4.662000
7.267000 -4.408000
7.213000 -4.153000
7.153000 -3.899000
7.339000 -3.645000
7.859000 -3.391000
8.337000 -3.137000
8.633000 -2.882000
8.970000 -2.628000
9.208000 -2.374000
9.257000 -2.120000
8.613000 -1.866000
8.062000 -1.611000
8.438000 -1.357000
7.598000 -1.103000
9.242000 -0.849000
7.133000 -0.595000
10.393000 -0.340000
10.117000 -0.086000
