# Median_Temperature Distance
12.014000 -10.000000
12.101000 -9.746000
12.339000 -9.492000
12.379000 -9.238000
12.479000 -8.983000
12.576000 -8.729000
12.730000 -8.475000
12.891000 -8.221000
13.008000 -7.967000
13.191000 -7.712000
13.251000 -7.458000
13.374000 -7.204000
13.536000 -6.950000
13.720000 -6.696000
13.829000 -6.441000
13.995000 -6.187000
14.240000 -5.933000
14.310000 -5.679000
14.498000 -5.425000
14.688000 -5.170000
14.753000 -4.916000
14.843000 -4.662000
14.934000 -4.408000
15.000000 -4.154000
15.026000 -3.899000
15.115000 -3.645000
14.987000 -3.391000
14.987000 -3.137000
14.967000 -2.883000
15.053000 -2.628000
14.959000 -2.374000
15.041000 -2.120000
15.011000 -1.866000
14.984000 -1.612000
15.467000 -1.357000
16.091000 -1.103000
16.123000 -0.849000
16.333000 -0.595000
16.809000 -0.341000
17.017000 -0.086000
