# Median_Temperature Distance
11.812000 -10.000000
11.855000 -9.746000
11.977000 -9.492000
12.120000 -9.238000
12.172000 -8.984000
12.383000 -8.729000
12.456000 -8.475000
12.576000 -8.221000
12.714000 -7.967000
12.759000 -7.713000
13.001000 -7.458000
13.069000 -7.204000
13.244000 -6.950000
13.328000 -6.696000
13.462000 -6.442000
13.667000 -6.187000
13.934000 -5.933000
14.052000 -5.679000
14.198000 -5.425000
14.291000 -5.171000
14.478000 -4.916000
14.596000 -4.662000
14.678000 -4.408000
14.732000 -4.154000
14.831000 -3.900000
14.897000 -3.645000
14.905000 -3.391000
14.938000 -3.137000
14.906000 -2.883000
14.905000 -2.629000
14.792000 -2.374000
14.807000 -2.120000
14.833000 -1.866000
14.891000 -1.612000
14.836000 -1.358000
15.346000 -1.103000
16.025000 -0.849000
16.086000 -0.595000
16.197000 -0.341000
16.747000 -0.087000
