# Median_Temperature Distance
11.570000 -10.000000
11.601000 -9.745000
11.695000 -9.491000
11.849000 -9.237000
11.830000 -8.983000
11.862000 -8.729000
11.904000 -8.474000
11.973000 -8.220000
12.197000 -7.966000
12.492000 -7.712000
12.718000 -7.458000
12.807000 -7.203000
12.988000 -6.949000
13.091000 -6.695000
13.283000 -6.441000
13.368000 -6.187000
13.605000 -5.932000
13.734000 -5.678000
13.946000 -5.424000
14.217000 -5.170000
14.306000 -4.916000
14.500000 -4.661000
14.632000 -4.407000
14.760000 -4.153000
14.707000 -3.899000
14.797000 -3.645000
14.798000 -3.390000
14.907000 -3.136000
14.896000 -2.882000
14.950000 -2.628000
14.962000 -2.374000
14.990000 -2.119000
14.912000 -1.865000
14.871000 -1.611000
14.960000 -1.357000
15.168000 -1.103000
15.496000 -0.848000
15.923000 -0.594000
16.417000 -0.340000
16.796000 -0.086000
