# Median_Temperature Distance
11.563000 -10.000000
11.606000 -9.746000
11.627000 -9.492000
11.644000 -9.237000
11.752000 -8.983000
11.752000 -8.729000
11.811000 -8.475000
11.901000 -8.221000
12.083000 -7.966000
12.513000 -7.712000
12.727000 -7.458000
12.854000 -7.204000
12.894000 -6.950000
13.053000 -6.695000
13.375000 -6.441000
13.543000 -6.187000
13.716000 -5.933000
13.873000 -5.679000
13.980000 -5.424000
14.178000 -5.170000
14.307000 -4.916000
14.475000 -4.662000
14.648000 -4.408000
14.718000 -4.153000
14.759000 -3.899000
14.890000 -3.645000
14.892000 -3.391000
14.951000 -3.137000
15.015000 -2.882000
15.003000 -2.628000
15.048000 -2.374000
15.107000 -2.120000
15.101000 -1.866000
14.971000 -1.611000
15.076000 -1.357000
15.318000 -1.103000
15.727000 -0.849000
16.259000 -0.595000
16.627000 -0.340000
16.938000 -0.086000
