# Median_Temperature Distance
8.451000 -10.000000
8.475000 -9.746000
8.399000 -9.492000
8.148000 -9.238000
8.070000 -8.984000
7.861000 -8.729000
7.653000 -8.475000
7.453000 -8.221000
7.128000 -7.967000
7.050000 -7.713000
6.740000 -7.458000
6.812000 -7.204000
6.718000 -6.950000
6.733000 -6.696000
6.553000 -6.442000
6.325000 -6.187000
6.384000 -5.933000
6.319000 -5.679000
6.121000 -5.425000
6.146000 -5.171000
6.259000 -4.916000
6.423000 -4.662000
6.525000 -4.408000
6.457000 -4.154000
6.310000 -3.900000
6.550000 -3.645000
6.645000 -3.391000
7.214000 -3.137000
7.590000 -2.883000
8.010000 -2.629000
8.173000 -2.374000
8.541000 -2.120000
8.748000 -1.866000
8.418000 -1.612000
9.243000 -1.358000
8.575000 -1.103000
10.212000 -0.849000
7.850000 -0.595000
9.797000 -0.341000
9.424000 -0.087000
