# Median_Temperature Distance
10.402000 -10.000000
10.279000 -9.745000
10.344000 -9.491000
10.239000 -9.237000
10.108000 -8.983000
9.877000 -8.729000
9.638000 -8.474000
9.345000 -8.220000
9.162000 -7.966000
9.053000 -7.712000
8.868000 -7.458000
8.699000 -7.203000
8.612000 -6.949000
8.442000 -6.695000
8.300000 -6.441000
8.281000 -6.187000
8.155000 -5.932000
8.093000 -5.678000
8.075000 -5.424000
8.021000 -5.170000
7.938000 -4.916000
7.869000 -4.661000
7.680000 -4.407000
8.047000 -4.153000
9.200000 -3.899000
10.047000 -3.645000
10.724000 -3.390000
11.543000 -3.136000
12.490000 -2.882000
12.417000 -2.628000
12.368000 -2.374000
12.540000 -2.119000
11.713000 -1.865000
13.681000 -1.611000
10.636000 -1.357000
13.762000 -1.103000
12.227000 -0.848000
11.268000 -0.594000
16.623000 -0.340000
1.690000 -0.086000
