# Median_Temperature Distance
7.924000 -10.000000
7.811000 -9.746000
7.804000 -9.492000
7.538000 -9.237000
7.716000 -8.983000
7.430000 -8.729000
7.186000 -8.475000
7.022000 -8.221000
6.888000 -7.966000
6.609000 -7.712000
6.563000 -7.458000
6.391000 -7.204000
6.286000 -6.950000
6.101000 -6.695000
5.945000 -6.441000
5.986000 -6.187000
5.850000 -5.933000
5.816000 -5.679000
5.922000 -5.424000
5.926000 -5.170000
5.894000 -4.916000
5.955000 -4.662000
5.828000 -4.408000
5.970000 -4.153000
7.209000 -3.899000
8.286000 -3.645000
9.349000 -3.391000
9.873000 -3.137000
10.868000 -2.882000
10.921000 -2.628000
10.869000 -2.374000
11.392000 -2.120000
10.427000 -1.866000
12.852000 -1.611000
9.492000 -1.357000
12.537000 -1.103000
11.454000 -0.849000
6.998000 -0.595000
15.415000 -0.340000
3.306000 -0.086000
