# Median_Temperature Distance
10.180000 -10.000000
10.067000 -9.746000
9.988000 -9.492000
9.832000 -9.238000
9.640000 -8.983000
9.344000 -8.729000
9.119000 -8.475000
8.907000 -8.221000
8.839000 -7.967000
8.537000 -7.712000
8.344000 -7.458000
8.091000 -7.204000
7.910000 -6.950000
7.747000 -6.696000
7.717000 -6.441000
7.450000 -6.187000
7.389000 -5.933000
7.365000 -5.679000
7.296000 -5.425000
7.249000 -5.170000
7.081000 -4.916000
6.995000 -4.662000
6.910000 -4.408000
7.509000 -4.154000
8.686000 -3.899000
9.250000 -3.645000
9.100000 -3.391000
9.561000 -3.137000
10.721000 -2.883000
11.312000 -2.628000
11.379000 -2.374000
10.758000 -2.120000
10.267000 -1.866000
10.583000 -1.612000
10.057000 -1.357000
12.100000 -1.103000
9.925000 -0.849000
12.564000 -0.595000
11.816000 -0.341000
9.224000 -0.086000
