# Median_Temperature Distance
8.032000 -10.000000
7.864000 -9.746000
7.841000 -9.492000
7.713000 -9.238000
7.644000 -8.984000
7.435000 -8.729000
7.305000 -8.475000
7.071000 -8.221000
7.127000 -7.967000
6.735000 -7.713000
6.465000 -7.458000
6.307000 -7.204000
5.982000 -6.950000
5.934000 -6.696000
5.764000 -6.442000
5.807000 -6.187000
5.610000 -5.933000
5.452000 -5.679000
5.395000 -5.425000
5.428000 -5.171000
5.226000 -4.916000
5.506000 -4.662000
5.460000 -4.408000
5.373000 -4.154000
5.927000 -3.900000
6.995000 -3.645000
7.652000 -3.391000
7.511000 -3.137000
8.138000 -2.883000
9.336000 -2.629000
10.111000 -2.374000
9.918000 -2.120000
9.311000 -1.866000
8.660000 -1.612000
9.116000 -1.358000
8.359000 -1.103000
10.469000 -0.849000
8.180000 -0.595000
11.337000 -0.341000
10.469000 -0.087000
